CITY,REGION,CITYCODE,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,SEVERITY_WEIGHTED,CITY_RISK_SCORE,REGION_RISK_SCORE
עין-שריד,מרכז,880,6,1,1,5,10,0.04,99.75
בית זית,ירושלים,710,7,0,0,10,10,0.04,35.33
יובל,צפון,2009,4,0,3,4,10,0.04,100.0
כרם מהרל,חיפה,580,9,0,2,7,11,0.04,58.44
בית חירות,מרכז,877,6,0,1,8,10,0.04,99.75
רנתיה,מרכז,616,9,0,0,11,11,0.04,99.75
כפר החורש,צפון,192,7,0,0,9,9,0.03,100.0
כפר מונש,מרכז,387,8,0,0,8,8,0.03,99.75
מבוא ביתר,ירושלים,771,8,0,0,9,9,0.03,35.33
מולדת,צפון,269,5,0,1,5,7,0.03,100.0
המעפיל,מרכז,377,4,0,1,7,9,0.03,99.75
כחל,צפון,1210,6,0,0,7,7,0.03,100.0
עמוקה,צפון,1212,5,0,0,7,7,0.03,100.0
נוב,צפון,4304,6,0,2,5,9,0.03,100.0
כפר קיש,צפון,388,6,0,0,7,7,0.03,100.0
זרחיה,דרום,818,6,0,0,7,7,0.03,63.41
תובל,צפון,1172,6,0,0,7,7,0.03,100.0
שדה נחום,צפון,259,5,0,1,5,7,0.03,100.0
שקף,דרום,1233,4,1,1,3,8,0.03,63.41
זכריה,ירושלים,799,5,0,0,7,7,0.03,35.33
ללא שיפוט - אזור מצפון לבסמת טבעון,חיפה,9938,3,0,0,8,8,0.03,58.44
לוזית,ירושלים,52,6,0,1,7,9,0.03,35.33
נחלה,דרום,2045,2,0,2,3,7,0.03,63.41
בית עריף,מרכז,604,6,0,0,7,7,0.03,99.75
ניר עקיבא,דרום,2048,7,0,0,8,8,0.03,63.41
מיטב,צפון,2054,6,0,1,6,8,0.03,100.0
שתולה,צפון,1045,5,0,0,8,8,0.03,100.0
פעמי תשז,דרום,2059,5,1,1,4,9,0.03,63.41
אומץ,מרכז,680,5,0,1,7,9,0.03,99.75
ללא שיפוט - אזור תל השומר,תל אביב,9969,6,0,0,9,9,0.03,65.34
צרעה,ירושלים,567,8,0,1,7,9,0.03,35.33
גבעולים,דרום,2014,6,0,0,7,7,0.03,63.41
שריגים (לי-און),ירושלים,1114,6,0,0,7,7,0.03,35.33
צור הדסה,ירושלים,1113,3,0,1,5,7,0.03,35.33
מרכז שפירא,דרום,1098,8,0,0,9,9,0.03,63.41
אביבים,צפון,1115,6,0,2,4,8,0.03,100.0
אשתאול,ירושלים,740,7,0,0,7,7,0.03,35.33
תראבין א-צאנע,דרום,1346,4,1,0,5,8,0.03,63.41
נוף איילון,מרכז,1333,6,0,0,8,8,0.03,99.75
גנות הדר,מרכז,549,8,0,0,9,9,0.03,99.75
חופית,מרכז,115,8,0,0,9,9,0.03,99.75
עולש,מרכז,737,6,0,0,8,8,0.03,99.75
עין החורש,מרכז,167,5,0,1,5,7,0.03,99.75
רשפים,צפון,437,6,0,0,9,9,0.03,100.0
